Date,Stream,Country
15.03.2022,SER,222
20.03.2022,ORF,Bahrain
10.04.2022,ORF,Australien
22.05.2022,ORF,Spanien
29.05.2022,ORF,Monaco
16.06.2022,ORF,Kanada
10.07.2022,ORF,Österreich
31.07.2022,ORF,Ungarn
04.09.2022,ORF,Niederlande
11.09.2022,ORF,Italien
02.10.2022,ORF,Singapur
23.10.2022,ORF,USA
13.11.2022,ORF,Brasilien
27.03.2022,SER,Saudi-Arabien
24.04.2022,SER,Emilia-Romagna
08.05.2022,SER,USA
12.06.2022,SER,Aserbaidschan
03.07.2022,SER,Großbritannien
10.07.2022,SER,Österreich
24.07.2022,SER,Frankreich
28.08.2022,SER,Belgien
25.09.2022,SER,Russland
09.10.2022,SER,Japan
30.10.2022,SER,Mexiko
20.11.2022,SER,Abu-Dhabi